Engine Type of Tugboat,Engine Power of Tugboat(kW),Distance(nautical miles),Towing Speed of Tugboats(meters per second),Tow Type of the vehicle being towed ,Tow Size/weight of the vehicle being towed(tonnes),Wind Speed(meters per second),Current Speed of towed vehicle(meters per second),Wave Height(meters per second),Sea State(Significant Wave Height (SWH)),Water Depth(meters per second),Wind Direction,Maintenance History of the tugboat,Fuel Consumption(Litres),"Pilotage Point(latitude, longitude)","Berthing Point(latitude, longitude)","Waypoints which tugboat has to cover in its route (latitude, longitude)",Traffic (number of vehicles in the route)
Diesel-Electric,1000,43,3.625200891,Other,4126,6.293725054,1.992909945,1.2396165,0.193771507,16.60230299,SE,Poor,568.4836383,"(24.812044150449054, 95.8256283956024)","(35.94929224102506, 88.22126936844694)","[(53.06508121510814, -66.99097947226564), (-88.75321547922385, -122.56016898049424), (33.57508108603494, 112.25094566165541)]",28
Diesel,3000,49,8.073159413,Ship,4389,18.07162129,1.408531401,2.82055813,4.084284225,5.446126306,W,Average,1625.654434,"(-76.73946156738079, 66.6695970040007)","(70.2478466236326, 78.16076702296635)",[],97
Diesel,3000,17,6.129481491,Barge,4650,6.115578988,0.303623153,1.998159434,2.185549569,8.716174096,SW,Poor,777.603556,"(16.123937944219264, 78.03472620027998)","(36.78453784358328, -125.112877170637)","[(44.138115834078064, 174.64144458876734)]",29
Diesel,1000,16,8.872175568,Other,4161,16.97493254,1.297904911,1.152072974,3.839775846,12.27115998,SE,Average,558.0548091,"(-73.19957639507604, 71.4265066053351)","(60.18842135959261, 135.95605446589508)",[],48
Diesel-Electric,1000,34,2.049207145,Ship,3595,8.149865124,1.674238051,1.158689265,3.686786576,10.17436334,N,Average,429.1730429,"(70.97191361505188, 145.64424427088994)","(8.381591770817593, -114.23006761656657)","[(-30.840576637780345, 126.59735933703422), (19.955715226965083, 139.9551822813807), (-88.73068597615969, -121.99579337863676)]",59
Diesel-Electric,2000,22,5.791485668,Other,6845,16.98607902,1.536731401,1.865929747,3.717645906,16.63762507,S,Good,939.3253694,"(-87.19301787591438, -69.26960752924799)","(-21.62261068346298, -104.44136743289883)",[],4
Diesel-Electric,3000,9,4.234236115,Ship,3424,0.344947728,1.782805539,1.931977373,3.516978876,5.892664644,N,Average,456.7243751,"(-72.52861816846494, 59.942466286052564)","(84.20465476401523, -150.8347305110406)","[(-23.048041564209825, -133.22024140742343), (-48.38825216640575, -173.46250220630583), (31.918423094003415, -161.4750325013049)]",0
Diesel-Electric,2000,39,8.475776097,Barge,6697,19.91163245,1.19768487,1.348399452,2.425321989,6.071872187,N,Average,1330.810536,"(42.9668220474031, 106.98519323201236)","(21.7837691090089, 82.71432469370211)","[(51.84331114632241, -40.39727025350351)]",34
Diesel-Electric,1000,40,6.521350681,Other,2992,11.86775375,0.227817905,1.152676869,1.929194693,9.01405764,N,Good,560.0540272,"(44.04640516760989, 134.4451821146548)","(23.190129504347354, -74.97399334582963)","[(-33.44593388885653, -19.262803620689084), (41.50224135246435, 50.918718668608534)]",67
Diesel,3000,48,7.589356791,Other,3564,2.466461813,1.194328981,1.094673569,0.851932539,15.70952025,S,Poor,1449.267378,"(16.304784447824716, 88.39062962187421)","(-68.18565149285025, -41.07982227658735)","[(-47.132150680362905, 99.2671711476521)]",81
Diesel,2000,32,3.669470614,Other,8487,18.41069844,0.317356304,1.270338323,0.85449662,8.643761334,SW,Average,1083.546119,"(-13.019459036713059, 83.83988180016706)","(62.55099455288834, 36.53019001798785)","[(86.19756593455705, 43.2452496396273)]",38
Diesel-Electric,3000,20,3.874794203,Ship,8363,9.206102411,1.511327757,2.995126838,4.18446997,12.92054785,S,Good,1068.787652,"(-33.66295733552732, 50.11725526953194)","(48.82756639380668, 62.373402513323924)","[(-27.039647990123456, -42.03874987819995), (-61.43810110699779, 88.05673217897112), (-39.84854955385908, 104.85540428820423)]",82
Diesel,3000,8,6.360583128,Other,7096,15.35504764,1.770433821,2.588166695,3.599519817,9.145106677,NE,Average,862.2539951,"(-70.82105858329261, 82.44472985884931)","(41.59923054688298, -123.03446755599504)","[(-1.3539852506947199, 37.51751987638471), (64.28282359546563, -2.529328029962386)]",83
Diesel-Electric,2000,6,3.804622852,Other,4750,17.26420756,0.038906407,1.034501131,2.288174846,15.38801654,W,Average,520.6554742,"(-28.938028078225017, -27.926483754640287)","(-59.50448831578314, -129.16506174374226)","[(-1.7516591512567743, -130.92229713593503)]",14
Diesel,2000,32,3.24639685,Barge,2820,1.51824337,0.567133329,1.531993424,3.331041857,17.28992453,W,Average,489.7693984,"(-25.95966445812624, 131.70109442330585)","(15.614485822338352, -112.69484882987051)","[(-89.25290179476642, -161.20572107704592), (-88.05242202739967, -79.5650649101936), (-12.222977828819765, -109.67525524020121)]",93
Diesel,2000,18,4.019710854,Other,4135,11.69884164,1.815427993,2.424664511,1.408137986,13.38730539,NW,Average,558.2095907,"(62.72554176507555, -146.80910215062298)","(87.58347142646653, -131.24951090572023)","[(-69.09381155847679, -0.6848337317223923)]",62
Diesel,1000,12,3.03183376,Barge,5413,6.223179203,1.149297809,1.447120604,2.351196771,17.39482952,SE,Good,577.6820051,"(-42.4060181695019, 170.04825584630834)","(71.38955364765829, -160.4407068144587)","[(-60.388077084459525, 11.78309345208362)]",14
Diesel-Electric,1000,49,3.966521723,Ship,7530,4.446043681,1.166447382,0.349535685,3.839583483,7.874377491,NE,Average,947.3595644,"(-7.020440308038403, -178.95127994333575)","(53.238446785205866, 13.633192889854797)","[(12.867255191196591, -1.9913623774814369), (-76.12542725871758, 71.36162920969949), (13.476811317089286, 3.5376674406803943), (2.6789593146726816, 138.72576071303575)]",18
Diesel-Electric,1000,38,5.147883852,Barge,5678,10.85161108,1.108837291,2.821233589,1.227848862,14.04593676,S,Poor,763.4195864,"(-62.48285445674074, -0.06277243693506307)","(9.242140652881574, -57.900468429532296)","[(25.39884243394333, 52.77106212085465), (75.84378233263195, 72.10729242525869), (63.931388980454074, -75.82109179897286), (17.180267125970943, 163.95313124331614)]",22
Diesel-Electric,2000,27,7.767130719,Ship,5707,15.14564928,0.892783513,1.275313306,2.836514913,16.78318879,NW,Good,990.1250588,"(-85.46037799729986, -64.7536577850252)","(8.643133613753108, 142.1845044329337)","[(-39.51355290196064, -44.10567862711858), (-39.218345741765205, -17.388176899410894)]",92
Diesel-Electric,2000,34,4.857415054,Other,6194,3.914125611,1.799576174,2.230463501,2.125423072,15.70279782,W,Poor,949.7042237,"(-54.34388032857751, -133.68521472711308)","(-1.5545957091772493, 149.3962840468816)","[(-74.3238930323245, 123.41960167696823), (19.593258785076912, 110.68924336768555), (-61.349756153811214, -173.02393650350928), (-49.53537972968037, 49.092948640243236)]",42
Diesel-Electric,1000,38,9.162013236,Ship,6707,12.59914027,1.314520288,2.039488546,3.007561941,18.43723323,NW,Average,1018.856503,"(-22.132879506251896, -130.88917037326468)","(52.49834694718132, 153.22874261704663)","[(-3.1118097951502364, -168.36120020677708)]",21
Diesel-Electric,3000,15,6.353006327,Other,2749,4.499748955,0.040030078,0.608412776,4.104837333,16.91539571,SW,Average,560.7852847,"(-58.82876737002657, -125.83004025531628)","(-53.70129294697918, 43.20139094930403)","[(51.39534763529744, 118.29176568628685)]",40
Diesel,3000,2,2.743799388,Other,9487,10.09347307,1.624183555,1.394198468,2.49841869,14.6611888,W,Poor,965.1627963,"(-80.76381880848167, -70.42308730963944)","(6.298760386423382, -75.60460732180813)","[(-22.63504637818056, 10.77874180579974), (-20.323201910584572, -159.56856438471675), (-21.69247648839317, -72.14674534191205)]",59
Diesel,3000,44,4.963578817,Barge,5327,5.106526075,1.978044233,0.730984215,1.937756575,16.11068064,S,Poor,1187.892404,"(62.267104611808776, 25.89054288055638)","(-61.84908108652606, -4.208286518754363)","[(48.02812676445714, 115.78292468840215), (-56.49910656231888, 91.99647759170057), (2.3528526453827396, 106.18191175703231)]",81
Diesel,2000,37,6.804796246,Barge,4895,12.3708765,1.634872991,1.815743942,1.016683867,7.157555984,NE,Average,993.0549222,"(63.39552479576588, -15.971794667753954)","(-48.937354805945176, -81.68988003184882)","[(-86.68294094460848, 28.947904737998158), (36.61709176017659, 175.10379458027302), (15.803064248410465, -100.63996525067279)]",37
Diesel,3000,23,8.467634701,Ship,4320,12.63912819,1.412051802,1.446479521,1.675768123,9.153758131,E,Good,1016.266794,"(-18.74732682836293, -102.50934068440398)","(-41.69821080443833, -74.51477575372225)","[(75.64434853226433, -140.0869965045539)]",17
Diesel-Electric,2000,12,9.581263798,Barge,6882,3.714987771,0.407655268,0.60919698,2.8449773,6.309567432,SE,Average,918.1503311,"(12.594181459087466, 4.002514943654347)","(-52.53696378031065, 150.33298095349346)","[(5.960840784829301, 112.12712818006486), (-27.771418479401653, 115.87589655697582), (-80.17079538281565, 126.07796841516495)]",90
Diesel-Electric,1000,28,9.178501946,Ship,4922,5.941291889,0.829356245,2.248317922,0.741064139,19.51302619,E,Average,749.1980545,"(63.013332291013825, -131.19868242780913)","(32.030486005254886, 125.58337012764389)","[(12.278126669348111, -98.32576476738876), (-47.57766156199337, -161.7875775592156)]",29
Diesel-Electric,3000,43,8.78866524,Barge,9581,5.525090388,0.63484532,1.176338882,3.868484488,5.650894077,S,Good,2091.837816,"(-29.6609714221351, -98.23690100274773)","(-61.310831347547975, 170.38307052372505)",[],32
Diesel-Electric,3000,22,9.651347355,Other,6400,0.538723737,0.565310511,2.660590146,1.012746026,5.517698541,N,Poor,1276.988925,"(89.12151462892825, -99.61124796355863)","(-38.25199187955642, -110.44176645543126)","[(56.75399508878718, -100.05767766740888), (-72.33992237429428, -164.85234488973316), (-22.75131867459362, -36.23466937783772), (-3.803704533447174, 16.29508526154811)]",54
Diesel,1000,48,3.233726915,Barge,5767,11.79986223,1.476764817,0.799999083,4.39265619,10.69659322,SE,Average,731.9188919,"(73.06501730004751, -153.62992750706576)","(-11.556786957951928, 65.62158427885919)","[(85.33269888018677, -62.843429970836)]",99
Diesel-Electric,1000,31,8.369578071,Other,4406,4.627548619,0.214692336,1.491854758,4.734215448,6.387231372,E,Average,700.0569202,"(65.99825692973849, 92.88759264388699)","(83.16136242598051, -119.8092463052034)","[(-49.447551100641896, 21.643990014286288)]",88
Diesel-Electric,1000,39,3.618703448,Ship,9703,3.67348278,1.837524438,0.226654038,1.049569868,13.99452576,E,Average,1111.429434,"(66.27400252603425, -62.97478913703209)","(-20.702733485447112, -81.13247657741911)","[(8.03221536978586, 75.75074384214776), (27.129035523385383, 127.35669283914268)]",58
Diesel,1000,41,3.342184326,Barge,2717,14.67310535,1.002363608,1.784587163,3.220972365,15.94924641,SW,Average,408.7295574,"(79.07346674413623, -113.98063283654946)","(-12.447936912063426, -21.744910184288415)","[(70.62765088323061, -61.10454865428092), (78.31861124559515, 39.33172755193286), (72.93400156611551, 102.10184516588339)]",45
Diesel,1000,30,3.459059747,Barge,2502,7.823051576,1.219613317,0.435439267,2.528643408,8.148826763,W,Poor,353.9717924,"(78.20697080314062, 43.76801930016222)","(-5.8891041250574006, 16.049415637773507)","[(73.27512306155288, 24.53409815996352), (-73.301575400984, -66.50554636873433), (-32.744447080177004, 117.19561960857834)]",48
Diesel,2000,3,9.745336583,Ship,8574,16.38087637,1.558355168,0.379376056,4.99000768,9.405679171,S,Good,915.8720195,"(89.00970141551792, 91.28116280359893)","(-30.35142508120697, 125.39426118356965)",[],24
Diesel,2000,45,6.533507152,Barge,7711,10.13321711,0.697811109,1.316192172,0.970189627,19.00438863,NW,Average,1359.115644,"(-25.983035596183555, -88.0285647383221)","(-51.659841130105086, 142.5532189309485)","[(27.811298097844826, 102.30879824417332), (84.69398349033554, -171.8614895803036), (-75.47147960573167, -33.778107041418764), (-71.23135202483147, 108.41940794896186)]",11
Diesel,2000,37,5.44670003,Barge,9425,5.068425583,1.555628241,0.925315625,4.425706105,8.739106761,NW,Good,1345.555802,"(-9.241762766059722, 41.30746419961153)","(52.53243327842509, 28.489253364970438)",[],20
Diesel-Electric,2000,17,9.568699671,Other,4753,8.219402122,1.459125625,2.286639282,0.127309869,8.497862052,SE,Good,800.6357888,"(-77.64017712666754, -169.72972087197658)","(0.6157318160755665, 118.06266801925159)","[(26.187592269712027, 44.54475813912373)]",62
Diesel,2000,49,4.38769601,Other,4989,2.289672473,1.74889571,0.005680178,4.242031217,12.85138841,W,Average,928.894209,"(63.74012616241308, 38.01600387085645)","(59.52747153797412, 24.544552714396445)","[(77.27185816613269, -101.84667599833581)]",0
Diesel-Electric,1000,35,3.689819214,Ship,7454,5.442664855,0.206531102,0.417324918,4.750797214,12.90107516,S,Average,874.5436725,"(-8.029099348645829, 50.818061664800695)","(-6.302649257051144, 44.1608054988358)","[(27.689601985463256, 72.34506386006063), (68.40889807451828, -5.106856008676431), (-5.802962635358909, -162.30039245303044), (-39.855894349801005, 30.62212851691413)]",74
Diesel,3000,1,2.801042097,Other,4121,10.3046681,1.992437603,2.074070054,0.760378471,12.33010918,W,Good,420.5031263,"(50.385254015718516, -178.62538488556353)","(-19.21681803335848, 147.9518588253909)","[(-85.94466161942984, -15.572571808339376), (24.146789333303616, -116.02770937410598), (-23.538986501874092, -117.94355138181645)]",75
Diesel-Electric,2000,39,4.817471453,Ship,2523,19.19820167,1.42891101,2.163851237,4.583738677,14.5177594,SE,Good,628.0627733,"(3.0216947138883796, 134.77857375527708)","(-50.54892336680238, 82.38869106644518)","[(21.182157563768257, -139.77081158093137), (82.71182931577283, 91.84797574280725)]",79
Diesel,3000,47,3.115253542,Other,9718,16.39921616,0.944641209,1.131805238,2.015625865,9.640986989,N,Average,1411.050749,"(-32.13194993178022, -164.57628660755435)","(-61.083579167070525, 61.21765589877873)","[(17.66203764522757, -89.35678078817037), (74.0629892869369, 65.92995030668325)]",8
Diesel,2000,40,9.832619457,Ship,1795,2.116373382,1.916372971,1.584463802,4.381643322,13.84882496,W,Poor,966.1095566,"(72.55068013066574, -73.79048366419342)","(-23.89816853674145, -122.96922764780533)","[(70.99506159771889, -71.90661028813165), (26.83911821576389, 91.5773878487102)]",11
Diesel-Electric,2000,28,6.063413103,Barge,8647,12.9396102,1.052687062,2.916153635,4.497876856,8.103564942,E,Poor,1204.251134,"(-51.58841602980412, 94.5208918138826)","(-35.18156344788461, -22.63034612992425)","[(44.76680319228271, -38.411013328550354), (87.30860597332324, 5.888312640770749), (-56.012147661825466, 99.48314474397296), (5.966474394675217, 147.85669776907588)]",39
Diesel-Electric,2000,23,4.735005197,Ship,2130,16.89929943,1.310631355,0.634753064,3.884112907,16.75568038,W,Good,430.810239,"(55.74543400262738, -123.75549919778183)","(-73.95533750430019, -145.51141520139197)","[(-58.644815853006605, -107.3206599284429), (87.79919548173578, 53.62828510728298), (26.083871691104505, 92.85448282906714)]",59
Diesel-Electric,1000,5,8.983936766,Ship,5580,11.77981885,1.264947625,1.559639547,4.383300895,14.25484729,W,Good,602.9196838,"(78.28704044661521, 36.597965786880565)","(-56.03122085332859, -59.54963047897206)",[],65
Diesel-Electric,1000,41,3.048802189,Barge,3260,8.97925262,1.27014751,1.385385793,2.799075948,8.631663103,SW,Good,451.0008897,"(36.11943575555493, -31.75032373016421)","(-48.68561480229273, 115.91527858973939)",[],22
Diesel,3000,41,7.918839032,Barge,1619,1.33911993,1.993749428,0.408344604,2.21439757,16.84877838,W,Average,1135.917201,"(74.43044456247796, 83.21420565581428)","(-88.49838190251205, -173.01770358754334)","[(-25.512546532031266, -118.20012351977087), (0.8112069135439555, 158.94886289645143), (-37.62830781302384, -16.81867393507386), (50.29006182060198, 130.793177142939)]",94
Diesel-Electric,3000,31,9.094670447,Ship,5446,2.287512173,1.728205254,1.793090923,3.245623542,5.283940589,NW,Good,1390.404352,"(-37.8746723827973, 5.369069496846919)","(24.45480467257245, -60.18799674841409)","[(56.50671909218184, 78.83245031558141), (13.994534761248971, 73.9342269039993), (-7.858891558949324, 59.83335088038055)]",42
Diesel,2000,19,7.978743447,Other,2768,0.679537586,0.190720376,2.600407628,4.795501032,16.71821785,SW,Average,579.992251,"(88.91597536035562, -124.55095892698031)","(-58.506718692686114, 167.9310203605666)","[(52.56880461035209, -160.70816761812603), (-80.84098058651695, -170.50257669558198)]",80
Diesel-Electric,2000,32,9.162859197,Ship,2481,1.1717327,1.323311273,2.435729677,0.632990612,12.9889836,S,Average,834.5229886,"(-79.72715620980624, 46.62726629509825)","(-19.0674412169503, -133.19979669712802)","[(-5.0863688935626215, 79.12843067387627), (-17.237848209204444, 7.075156400408645), (-86.8104013921456, 136.3176534748252), (-4.536427282826807, 176.14793899371602)]",51
Diesel-Electric,1000,47,6.557696402,Ship,7878,2.981981533,0.501126463,1.698175267,0.717034681,12.9272898,SW,Poor,1096.011731,"(63.696005672956204, 24.63650786769989)","(88.95105759953498, 21.23355911353667)",[],79
Diesel,3000,18,9.245633361,Barge,3149,5.59387807,0.790474312,2.223539639,1.236436852,18.81767274,NE,Poor,814.1642015,"(-60.80209315389166, 86.70264990372795)","(89.43029710352488, -71.78206246323626)","[(54.10858774165561, 167.76436999991023)]",42
Diesel,2000,30,8.051835093,Barge,3713,8.415431257,1.863301122,2.145577257,4.246274073,8.081318089,E,Good,854.4101056,"(-45.47857986487921, 2.036997251021205)","(-37.3513759941761, -128.82202558293756)","[(-18.687185456828388, 11.86789565650244), (-82.87872111936319, 58.94144671989321)]",33
Diesel,1000,14,9.58447168,Barge,3943,18.92223628,0.853569821,1.589067225,3.501407123,5.607764167,E,Average,528.4826035,"(-68.96426392203377, -134.44739751668948)","(-88.73387174079127, 152.61060213780024)",[],26
Diesel-Electric,2000,38,3.829733694,Other,1800,14.76165195,0.626631557,0.601794569,4.281341951,6.560876483,N,Average,471.0597607,"(76.33552690511729, -109.90137799568052)","(70.45787391071451, 24.338349049109098)","[(-20.59560621906644, -28.994052102226476), (76.30807867890726, 137.1790101389953), (68.20535331239782, 148.68167430550903)]",67
Diesel-Electric,2000,42,8.303242361,Other,7736,6.357974329,1.269195423,0.203822001,2.797144308,8.630250533,W,Good,1471.072358,"(3.092867295689018, 49.815584523755575)","(-30.497476814130913, -157.42332385616479)","[(59.494725359774975, -97.11859910766782)]",57
Diesel-Electric,1000,48,6.991362127,Other,8096,12.60032485,1.732410072,2.517540642,2.454072688,10.99730115,N,Poor,1145.185382,"(-66.13814409542674, 50.88049778679604)","(9.686615732964967, -12.93620796284739)","[(-8.415912499258766, 153.09970638714384), (-59.88576320334322, -130.21805053139914), (-39.75925033083284, 115.75391682763643)]",51
Diesel,3000,20,3.351786649,Ship,8111,12.18266817,1.06646074,2.393739565,1.953688795,11.93399412,S,Good,1012.207199,"(50.8003277569984, -82.3315426517015)","(-14.83558445559396, -27.814110788626635)","[(-21.094496406002605, 147.2652397020072), (-15.09655522902517, 127.45493348128139)]",60
Diesel-Electric,1000,5,2.047759541,Ship,8774,13.50411257,0.050696924,0.196514156,2.750698641,18.19762835,SW,Average,887.6387977,"(51.072905091566184, 145.94750672432554)","(-67.57453613346819, 86.43992469057821)","[(7.780555769096452, 129.63256363658036)]",8
Diesel,1000,25,4.769585884,Ship,2754,7.852545035,0.677296954,2.217946353,2.163008293,18.0972806,SW,Good,394.6396471,"(-16.112407026823718, -58.568248658866096)","(74.43193500249834, -137.87890141714465)","[(22.759803388887917, 148.45142468650948), (-53.50342040557682, -145.12467123245906), (43.37483881428079, -151.19526102180538)]",57
Diesel-Electric,2000,37,5.829513364,Barge,5426,15.85852557,0.667804986,2.825173401,0.635256308,19.2320224,NE,Average,973.9839889,"(44.511638374800185, -100.59539369071565)","(40.063093568281175, 148.47691963983164)","[(-10.970866769209024, 176.13054289349185), (56.55823672054618, -39.95064374091413)]",56
Diesel-Electric,1000,13,9.63038582,Ship,5412,5.117505905,0.048286273,2.710785077,3.860589825,18.36049271,SE,Good,666.3950157,"(-27.526717738644408, -120.3460142013154)","(20.17680342973658, 79.6217983372415)","[(9.498999191726512, -132.4872814264288)]",26
Diesel-Electric,3000,23,6.503820486,Ship,2741,1.987843147,1.080482943,2.886529865,3.127013324,8.734947007,SW,Good,722.8636135,"(-57.57371852966104, -132.00325783219893)","(-13.320361842855448, 123.11877316171257)","[(-85.52476107929823, -36.85108982997622), (29.160815248739482, -66.0601363129321)]",23
Diesel-Electric,2000,21,6.268390343,Barge,8676,4.546692051,1.539610165,0.40154108,2.01114939,9.338033786,NE,Poor,1130.872394,"(-52.5101022735318, -164.8045352811328)","(17.512465441593108, 135.42508908642054)","[(-54.46219612022406, -89.78246784267849)]",49
Diesel,3000,38,9.92243104,Barge,5010,19.67741372,1.910993191,1.929785307,3.023916373,10.84272104,N,Average,1632.157139,"(2.483796378775949, -144.91111795621117)","(25.08249493964928, -75.73654018523798)","[(-25.99244850340824, 93.63724600752539), (15.859279634972637, -159.9599186796136), (19.271600211985046, -168.0821474428606)]",90
Diesel,1000,16,6.218660334,Ship,5215,1.682625811,0.814894608,2.346529094,0.730244447,5.329103364,W,Poor,620.9985653,"(56.05902533056266, -100.21555110820125)","(83.3900386372926, -134.83925763179803)","[(75.66907254175561, -142.70830376089884), (-51.78742958838792, -103.7244737856397), (-21.621023023247787, -71.18111742476536)]",34
Diesel-Electric,1000,47,8.97086265,Barge,4459,6.837680664,0.427201998,2.320446512,4.729311918,7.794541033,SE,Average,867.5305445,"(76.6176035252906, 91.44942165845225)","(29.635942240939016, -60.25309397036541)","[(30.910342416703912, 155.81847429166004), (29.220945250388823, 30.701049043154143)]",3
Diesel,1000,17,6.413694828,Barge,1537,9.094563128,0.858809509,1.434509364,1.94064004,9.79201363,N,Average,262.7328121,"(-83.05814338417322, -57.53565790788919)","(26.85170177594162, -6.443632053929491)","[(55.04608257756382, -171.61943866249547), (53.04638485188892, -65.94100249996666), (7.858492619950866, -159.59999904624368)]",68
Diesel,2000,3,8.582248675,Barge,4065,3.105231798,1.810758073,2.897117553,3.898739446,10.07634338,N,Good,457.9934921,"(60.507127654078204, -143.37228720222862)","(-8.12838286012709, 52.4481539216103)","[(74.8628690283843, 179.77371364523924), (-9.596166099309698, 122.55624599497634), (-18.128470262469165, -75.78235803015939)]",43
Diesel,1000,15,2.455593107,Barge,6646,10.5047764,0.656500416,2.307223151,1.271243103,18.51314375,SW,Average,701.4338966,"(35.45837992863018, -1.452339798407138)","(-80.79720849546305, 137.8532795542023)","[(60.27589937131398, 79.18148842714214), (-32.06146489672052, 162.0411096221328), (-30.592046928967946, -60.67771432816129), (44.37082798740403, 61.25582319506782)]",95
Diesel,2000,5,9.405455185,Barge,2308,13.43415579,0.863811962,0.472280122,3.262309593,13.1485173,NE,Poor,324.8545518,"(-54.463798859949335, -98.12530881678326)","(1.0945658194371504, -79.8961302452855)","[(56.984025759620664, 122.52665848898613), (57.4341424476421, -84.4273267956239), (37.55655308175227, 19.184118797629992)]",5
Diesel-Electric,3000,13,5.674441099,Other,5837,9.735203719,1.094544735,2.802436312,1.807247427,7.865474255,SW,Good,805.0032029,"(24.326077588255572, 179.44461209051053)","(2.4035860935265845, -37.979933087383046)","[(-73.26998301998042, -3.658775112700795)]",17
Diesel,1000,11,3.765267243,Other,8596,7.940198304,1.290735805,1.20229204,4.02954757,15.15556354,W,Poor,901.0179397,"(44.11533299773191, 169.4230641759404)","(-79.96691774694749, 64.11144990788145)","[(-10.198924865725346, 64.10437915519756), (65.85130194220096, -106.47377809790663)]",69
Diesel,1000,5,6.866926648,Barge,4742,17.6915347,1.148244567,1.061051961,4.039127105,14.40945327,W,Average,508.5346332,"(27.23240045281571, 81.07938109502328)","(-29.149030531881117, 145.6605394587234)","[(-30.59247454172145, -177.35658874941808), (32.90279710216298, 179.26015053574582)]",91
Diesel,2000,43,4.412064095,Barge,7969,10.7228595,0.728813538,1.790352983,3.652361893,16.52988323,NE,Average,1176.337512,"(34.439636310512725, -16.42854530727149)","(22.625656939434094, -16.702299545809694)",[],48
Diesel,2000,23,2.176459453,Other,8764,14.98042939,0.255767248,1.022668391,4.342729977,12.21444648,W,Poor,976.5171348,"(60.51853305188996, -94.26699845880273)","(26.821423156485608, 38.56641708472458)","[(79.76896085760035, -114.26505082507201), (-41.474039801930935, -66.78448491093623), (-57.572449818012544, 113.65228775028214), (-51.111438538672544, 37.51454440389841)]",60
Diesel-Electric,3000,47,2.447841424,Other,6946,7.777896692,1.374916113,1.39606849,0.852173821,19.35232218,SE,Good,1039.745641,"(75.47227500413177, -160.46617022776093)","(46.93334656110653, -142.2497041727036)","[(71.4886675632197, -68.8598339808004), (-84.30404186918453, -25.683875191064487)]",91
Diesel-Electric,1000,34,2.897256581,Barge,1032,14.75933115,0.436764286,1.37857953,4.891323984,10.19181667,W,Good,201.7067237,"(-23.801519125654693, -86.34080024346501)","(-7.637573514547142, -134.35091029908293)","[(-66.35000935344078, -177.28466141654582)]",91
Diesel-Electric,3000,39,6.856527132,Other,1194,7.464648865,0.253829514,1.111984774,4.248811379,9.541214916,NW,Average,921.6136744,"(-40.54716316255827, -80.68290863934503)","(51.78621813340504, 39.2334689260166)","[(20.312604979138356, 22.977853250019763), (-36.13631074122482, 146.28445681508163), (65.12975941336799, -80.61625320037163), (42.74404360482737, 81.79749439445385)]",9
Diesel,2000,14,5.881152044,Other,5142,11.15373643,0.560644551,0.520885793,3.821433136,14.91625822,SE,Good,678.8722572,"(-53.31921580848808, 70.28416475415048)","(2.6545448208713793, -86.46032551361569)",[],34
Diesel,2000,33,8.790859734,Ship,7438,10.56015081,0.8270065,1.055700657,3.626644649,11.37884505,N,Good,1323.996742,"(-34.99939979931371, -2.2492205517952186)","(-77.53944136930306, 146.1155652398565)",[],12
Diesel-Electric,3000,34,8.755290601,Ship,4966,1.933713862,1.552390943,1.721499063,2.72866846,10.2127006,NE,Poor,1389.639641,"(79.05826006295246, -53.40681476801461)","(86.02096998638814, -103.47106967800997)",[],32
Diesel-Electric,3000,21,3.722373636,Ship,4214,2.516916793,0.474873638,2.946467036,0.887583339,9.256703817,N,Good,655.9095391,"(-70.65958206976863, 148.09276139272134)","(-59.57112035841391, -3.5114495487984527)","[(-81.98803482760914, 80.1182239565963)]",62
Diesel-Electric,1000,13,7.811847332,Barge,8194,13.4017343,0.574728759,2.926887106,3.887662112,19.8001718,N,Average,920.9540153,"(-4.839960920813212, 144.68389963268896)","(-45.83960404852174, 48.59947884414518)","[(-6.791793521893098, -113.68965719607563), (-3.5574963660743038, 178.6480492045191), (-80.98721499542224, 140.48398249992795), (23.659003619092985, 87.40765497854187)]",46
Diesel-Electric,1000,45,7.141697726,Ship,7142,15.27877905,0.426664941,2.258071768,3.341887212,11.74807401,NE,Good,1035.576398,"(-40.80505175385414, -2.2834372984146114)","(-60.898420710920355, -54.81427688422869)","[(-25.93315478673793, 87.32557815434421)]",11
Diesel-Electric,3000,12,8.17429363,Other,8551,16.86682327,1.6442792,1.005772785,0.144357382,11.6507899,W,Poor,1149.374571,"(13.727301887666826, -99.43471257506133)","(66.60524767557945, -155.65444700048732)","[(-29.176232908292, -105.16522067840306), (-59.26762189890897, 36.492842839055044), (-30.807321685994786, 61.10906407969037)]",76
Diesel-Electric,1000,35,6.801703266,Other,7719,1.488540748,0.00134203,2.847495505,4.826381295,5.033969099,SW,Average,1009.959614,"(-67.78917670307247, 29.669670051334293)","(26.995562113993884, 1.6570829159248035)","[(-4.118241439426157, -124.07911294811717), (-21.237017329721056, 104.00911964069405), (-27.420711908965394, -176.37885387222343), (-11.902389041396859, -138.52898145754983)]",80
Diesel,2000,44,3.932290267,Ship,2479,19.29950299,1.153150346,0.343276081,4.81858791,10.11040515,S,Poor,593.9415435,"(-32.26367506725715, -14.8019560645198)","(-47.32073660132906, 38.668036224078634)","[(49.03422041410954, 93.60523543852605), (-48.06438165764636, 121.74758506013058), (-47.659283583063385, -86.93635527031448)]",22
